relseconds,latitude,longitude,altitude,groundspeed
53.725,0,0,-0.8443603515625,0
54.027,0,0,-0.857177734375,0
54.329,0,0,-0.892333984375,0
54.631,0,0,-0.9573974609375,0
54.958,0,0,-0.8836669921875,0
55.26,0,0,-0.8836669921875,0
55.561,0,0,-0.706298828125,0
55.863,0,0,-0.72186279296875,0
56.165,0,0,-0.70562744140625,0
56.467,0,0,-0.70562744140625,0
56.768,0,0,-0.70562744140625,0
57.075,0,0,-0.70562744140625,0
57.377,0,0,-0.70562744140625,0
57.678,0,0,-0.70562744140625,0
57.979,0,0,-0.70562744140625,0
58.28,0,0,-0.70562744140625,0
58.581,0,0,-0.74969482421875,0
58.892,0,0,-0.74969482421875,0
59.315,0,0,-0.74969482421875,0
59.626,0,0,-0.74969482421875,0
59.927,0,0,-0.74969482421875,0
60.228,0,0,-0.82025146484375,0
60.53,0,0,-0.7750244140625,0
60.856,0,0,-0.80364990234375,0
61.132,0,0,-0.84381103515625,0
61.44,0,0,-0.84381103515625,0
61.742,0,0,-0.84381103515625,0
62.043,0,0,-0.84381103515625,0
62.344,0,0,-0.84381103515625,0
62.645,0,0,-0.84381103515625,0
62.946,0,0,-0.84381103515625,0
63.247,0,0,-0.84381103515625,0
63.554,0,0,-0.862060546875,0
63.856,0,0,-0.862060546875,0
64.157,0,0,-1.01251220703125,0
64.459,0,0,-1.10601806640625,0
64.761,0,0,-1.0048828125,0
65.063,0,0,-0.9429931640625,0
65.384,0,0,-0.994384765625,0
65.666,0,0,-0.9246826171875,0
65.968,0,0,-0.9246826171875,0
66.269,0,0,-0.948974609375,0
66.571,0,0,-0.948974609375,0
66.872,0,0,-0.948974609375,0
67.173,0,0,-0.948974609375,0
67.474,0,0,-0.948974609375,0
67.781,0,0,-0.948974609375,0
68.083,0,0,-0.948974609375,0
68.384,0,0,-0.948974609375,0
68.685,0,0,-0.8680419921875,0
68.996,0,0,-0.78173828125,0
69.306,0,0,-0.78173828125,0
69.616,0,0,-0.78173828125,0
70.039,0,0,-0.78173828125,0
70.34,0,0,-0.78173828125,0
70.641,0,0,-0.9005126953125,0
70.943,0,0,-0.9095458984375,0
71.245,0,0,-0.8505859375,0
71.547,0,0,-0.92169189453125,0
71.849,0,0,-0.92169189453125,0
72.156,0,0,-0.92169189453125,0
72.458,0,0,-0.92169189453125,0
72.759,0,0,-0.92169189453125,0
73.06,0,0,-0.92169189453125,0
73.361,0,0,-0.92169189453125,0
73.662,0,0,-0.90789794921875,0
73.964,0,0,-0.93072509765625,0
74.272,0,0,-0.78387451171875,0
74.574,0,0,-0.78387451171875,0
74.875,0,0,-0.90509033203125,0
75.177,0,0,-0.8480224609375,0
75.479,0,0,-0.86712646484375,0
75.781,0,0,-0.925537109375,0
76.083,0,0,-0.925537109375,0
76.39,0,0,-0.90679931640625,0
76.692,0,0,-0.90679931640625,0
76.993,0,0,-0.90679931640625,0
77.294,0,0,-0.90679931640625,0
77.595,0,0,-0.90679931640625,0
77.896,0,0,-0.90679931640625,0
78.197,0,0,-0.90679931640625,0
78.504,0,0,-0.90679931640625,0
78.806,0,0,-0.90679931640625,0
79.116,0,0,-0.94122314453125,0
79.426,0,0,-0.94122314453125,0
79.736,0,0,-0.94122314453125,0
80.046,0,0,-0.94122314453125,0
80.347,0,0,-0.94122314453125,0
80.655,0,0,-0.8330078125,0
80.956,0,0,-0.8330078125,0
81.257,0,0,-0.83837890625,0
81.559,0,0,-0.912109375,0
81.861,0,0,-0.912109375,0
82.162,0,0,-0.912109375,0
82.463,0,0,-0.912109375,0
82.769,0,0,-0.912109375,0
83.071,0,0,-0.912109375,0
83.372,0,0,-0.912109375,0
83.673,0,0,-0.912109375,0
83.974,0,0,-0.9432373046875,0
84.276,0,0,-0.88580322265625,0
84.597,0,0,-0.9119873046875,0
84.879,0,0,-0.92181396484375,0
85.181,0,0,-0.92181396484375,0
85.482,0,0,-0.8953857421875,0
85.784,0,0,-0.9754638671875,0
86.086,0,0,-0.985107421875,0
86.388,0,0,-0.952392578125,0
86.69,0,0,-0.9412841796875,0
86.998,0,0,-0.9412841796875,0
87.3,0,0,-0.9412841796875,0
87.601,0,0,-0.9412841796875,0
87.902,0,0,-0.9412841796875,0
88.203,0,0,-0.9412841796875,0
88.504,0,0,-0.9412841796875,0
88.805,0,0,-0.9412841796875,0
89.246,0,0,-0.94354248046875,0
89.557,0,0,-0.94354248046875,0
89.867,0,0,-0.94354248046875,0
