relseconds,roll,pitch,yaw
91.363,-1.5493136644363403,4.301014423370361,25.719518661499023
91.664,-1.5493136644363403,4.301014423370361,25.719518661499023
91.965,-1.5493136644363403,4.301014423370361,25.719518661499023
92.266,-1.5493136644363403,4.301014423370361,25.719518661499023
92.567,-1.5493136644363403,4.301014423370361,25.719518661499023
92.868,-1.5493136644363403,4.301014423370361,25.719518661499023
93.169,-1.5493136644363403,4.301014423370361,25.719518661499023
93.476,-1.5493136644363403,4.301014423370361,25.719518661499023
93.778,-1.5493136644363403,4.301014423370361,25.719518661499023
94.079,-1.4361993074417114,4.3687310218811035,26.087203979492188
94.381,-1.4361993074417114,4.3687310218811035,26.087203979492188
94.682,-1.5408613681793213,4.358867645263672,26.137237548828125
94.984,-1.4198018312454224,4.36836576461792,26.19379997253418
95.306,-1.4581907987594604,4.2995452880859375,26.212615966796875
95.588,-1.475059151649475,4.3484110832214355,26.347549438476562
95.89,-1.475059151649475,4.3484110832214355,26.347549438476562
96.191,-1.4545445442199707,4.3233323097229,26.433639526367188
96.493,-1.4578981399536133,4.370031356811523,26.46784210205078
96.795,-1.5222795009613037,4.3234333992004395,26.48570442199707
97.097,-1.5222795009613037,4.3234333992004395,26.48570442199707
97.398,-1.5222795009613037,4.3234333992004395,26.48570442199707
97.706,-1.5222795009613037,4.3234333992004395,26.48570442199707
98.007,-1.5222795009613037,4.3234333992004395,26.48570442199707
98.308,-1.5222795009613037,4.3234333992004395,26.48570442199707
98.609,-1.5222795009613037,4.3234333992004395,26.48570442199707
98.91,-1.5222795009613037,4.3234333992004395,26.48570442199707
99.22,-1.5222795009613037,4.3234333992004395,26.48570442199707
99.53,-1.5222795009613037,4.3234333992004395,26.48570442199707
99.953,-1.5222795009613037,4.3234333992004395,26.48570442199707
100.254,-1.5222795009613037,4.3234333992004395,26.48570442199707
100.555,-1.8431488275527954,0.22791148722171783,101.8348388671875
100.857,-0.8582355976104736,1.6022344827651978,174.14529418945312
101.158,-26.14373779296875,24.692272186279297,-132.75665283203125
101.489,-87.7040786743164,-162.20684814453125,92.19230651855469
101.764,13.283926010131836,169.82537841796875,-24.36761474609375
102.072,13.283926010131836,169.82537841796875,-24.36761474609375
102.373,13.283926010131836,169.82537841796875,-24.36761474609375
102.674,13.283926010131836,169.82537841796875,-24.36761474609375
102.975,13.283926010131836,169.82537841796875,-24.36761474609375
103.276,13.283926010131836,169.82537841796875,-24.36761474609375
103.577,13.283926010131836,169.82537841796875,-24.36761474609375
103.878,13.283926010131836,169.82537841796875,-24.36761474609375
104.186,-3.3511149883270264,169.80751037597656,-133.7318115234375
104.487,-3.3511149883270264,169.80751037597656,-133.7318115234375
104.788,-3.756380319595337,169.42559814453125,16.019912719726562
105.09,-1.7010146379470825,168.2113494873047,-82.36724853515625
105.392,-3.0395541191101074,168.46119689941406,168.58055114746094
105.694,-1.5945708751678467,168.5443115234375,58.81708908081055
106.018,-1.8896892070770264,166.49481201171875,-50.316009521484375
106.3,0.9647006988525391,167.77056884765625,99.82014465332031
106.602,0.9647006988525391,167.77056884765625,99.82014465332031
106.903,4.222531318664551,170.32943725585938,-120.31072998046875
107.205,4.222531318664551,170.32943725585938,-120.31072998046875
107.506,4.222531318664551,170.32943725585938,-120.31072998046875
107.807,4.222531318664551,170.32943725585938,-120.31072998046875
108.108,4.222531318664551,170.32943725585938,-120.31072998046875
108.415,4.222531318664551,170.32943725585938,-120.31072998046875
108.717,4.222531318664551,170.32943725585938,-120.31072998046875
109.018,4.222531318664551,170.32943725585938,-120.31072998046875
109.328,13.799909591674805,175.0937957763672,62.75699996948242
109.638,13.799909591674805,175.0937957763672,62.75699996948242
109.948,13.799909591674805,175.0937957763672,62.75699996948242
110.258,13.799909591674805,175.0937957763672,62.75699996948242
110.565,13.799909591674805,175.0937957763672,62.75699996948242
110.867,13.799909591674805,175.0937957763672,62.75699996948242
111.168,14.433088302612305,-178.24794006347656,97.77709197998047
111.47,12.21032428741455,-177.08604431152344,11.930475234985352
111.772,14.680036544799805,-173.4110870361328,-80.52784729003906
112.074,18.506641387939453,-172.2769012451172,-171.77227783203125
112.376,18.506641387939453,-172.2769012451172,-171.77227783203125
112.683,18.506641387939453,-172.2769012451172,-171.77227783203125
112.984,18.506641387939453,-172.2769012451172,-171.77227783203125
113.285,18.506641387939453,-172.2769012451172,-171.77227783203125
113.586,18.506641387939453,-172.2769012451172,-171.77227783203125
113.887,18.506641387939453,-172.2769012451172,-171.77227783203125
114.188,18.506641387939453,-172.2769012451172,-171.77227783203125
114.522,11.786893844604492,-169.4026641845703,-153.63682556152344
114.804,11.094918251037598,-171.20603942871094,62.14427947998047
115.105,11.094918251037598,-171.20603942871094,62.14427947998047
