relseconds,data
278.329,-85
278.631,-85
278.94,-83
279.262,-83
279.538,-83
279.839,-83
280.14,-83
280.441,-83
280.742,-83
281.049,-83
281.35,-83
281.651,-83
281.961,-83
282.271,-83
282.581,-83
282.891,-83
283.198,-94
283.513,-94
283.789,-94
284.091,-94
284.393,-94
284.695,-94
284.997,-94
285.305,-89
285.606,-89
285.907,-89
286.208,-89
286.509,-89
286.81,-89
287.111,-89
287.419,-88
287.72,-88
288.042,-88
288.318,-88
288.619,-88
288.921,-88
289.222,-88
289.53,-82
289.832,-82
290.133,-82
290.434,-82
290.735,-82
291.036,-82
291.337,-82
291.644,-86
291.946,-86
292.256,-86
292.566,-86
292.876,-86
293.186,-86
293.487,-86
293.794,-81
294.096,-81
294.397,-81
294.699,-81
295.001,-81
295.303,-81
295.604,-81
295.911,-82
296.212,-82
296.513,-82
296.814,-82
297.115,-82
297.417,-82
297.719,-82
298.027,-79
298.329,-79
298.63,-79
298.932,-79
299.234,-79
299.536,-79
299.854,-79
300.162,-92
300.463,-92
300.764,-92
301.065,-92
301.366,-92
301.667,-92
301.968,-92
302.392,-79
302.812,-79
303.122,-79
303.423,-79
303.724,-79
304.026,-79
304.335,-84
304.66,-84
304.936,-84
305.237,-84
305.538,-84
305.839,-84
306.14,-84
306.447,-83
306.749,-83
307.05,-83
307.351,-83
307.653,-83
307.954,-83
308.256,-83
308.564,-84
308.866,-84
309.188,-84
309.464,-84
309.765,-84
310.067,-84
310.369,-84
310.677,-93
310.978,-93
311.279,-93
311.58,-93
311.881,-93
312.182,-93
312.492,-93
312.915,-86
313.226,-86
313.527,-86
313.828,-86
314.13,-86
314.432,-86
314.734,-86
315.043,-77
315.344,-77
315.645,-77
315.946,-77
316.247,-77
316.548,-77
316.849,-77
317.156,-80
317.458,-80
317.759,-80
318.061,-80
318.363,-80
318.665,-80
318.966,-80
319.275,-83
319.576,-83
319.899,-83
320.174,-83
320.476,-83
320.777,-83
321.078,-83
321.385,-82
321.686,-82
321.987,-82
322.288,-82
322.598,-82
322.908,-82
323.218,-82
323.642,-83
323.943,-83
324.244,-83
324.546,-83
324.848,-83
325.15,-83
325.452,-83
325.76,-85
326.061,-85
326.362,-85
326.663,-85
326.964,-85
327.265,-85
327.576,-85
327.858,-83
328.16,-83
328.461,-83
328.763,-83
329.065,-83
329.367,-83
329.669,-83
329.977,-74
330.278,-74
330.579,-74
330.881,-74
331.182,-74
331.483,-74
331.784,-74
332.091,-73
332.392,-73
332.702,-73
333.012,-73
333.322,-73
333.632,-73
333.933,-73
334.24,-80
334.542,-80
334.843,-80
335.144,-80
335.446,-80
335.748,-80
336.049,-80
336.356,-80
336.657,-80
336.958,-80
337.259,-80
337.56,-80
337.861,-80
338.163,-80
338.471,-82
338.773,-82
339.074,-82
339.389,-82
339.665,-82
339.966,-82
340.268,-82
340.575,-80
340.877,-80
341.178,-80
341.479,-80
341.78,-80
342.081,-80
342.382,-80
342.69,-87
343,-87
343.31,-87
343.62,-87
343.93,-87
344.231,-87
344.532,-87
344.84,-83
345.141,-83
345.442,-83
345.744,-83
346.046,-83
346.347,-83
346.648,-83
346.955,-81
347.257,-81
347.558,-81
347.893,-81
348.168,-81
348.47,-81
348.772,-81
349.08,-83
349.382,-83
349.683,-83
349.985,-83
350.287,-83
350.589,-83
350.891,-83
351.199,-80
351.501,-80
351.802,-80
352.103,-80
352.404,-80
352.705,-80
353.015,-80
353.439,-81
353.749,-81
354.05,-81
354.351,-81
354.653,-81
354.955,-81
355.257,-81
355.566,-77
355.867,-77
356.168,-77
356.469,-77
356.77,-77
357.071,-77
357.372,-77
357.679,-74
357.981,-74
358.282,-74
358.602,-74
358.878,-74
359.179,-74
359.481,-74
359.79,-84
360.091,-84
360.392,-84
360.694,-84
360.996,-84
361.297,-84
361.598,-84
361.906,-81
362.207,-81
362.508,-81
362.809,-81
363.138,-81
363.448,-81
363.758,-81
364.181,-80
364.507,-80
364.783,-80
365.084,-80
365.386,-80
365.688,-80
365.99,-80
366.298,-81
366.599,-81
366.9,-81
367.201,-81
367.502,-81
367.803,-81
368.104,-81
368.411,-85
368.712,-85
369.035,-85
369.31,-85
369.612,-85
369.913,-85
370.215,-85
370.522,-88
370.823,-88
371.124,-88
371.426,-88
371.727,-88
372.028,-88
372.329,-88
372.636,-86
372.937,-86
373.247,-86
373.557,-86
373.867,-86
374.177,-86
374.478,-86
374.785,-80
375.086,-80
375.387,-80
375.689,-80
375.991,-80
376.293,-80
376.595,-80
376.902,-74
377.204,-74
377.505,-74
377.806,-74
378.107,-74
378.408,-74
378.71,-74
379.018,-81
379.32,-81
379.621,-81
379.923,-81
380.225,-81
380.527,-81
380.847,-81
381.13,-85
381.431,-85
381.732,-85
382.033,-85
382.334,-85
382.635,-85
382.936,-85
383.243,-84
383.553,-84
383.863,-84
384.173,-84
384.483,-84
384.784,-84
385.1,-84
385.382,-75
385.684,-75
385.985,-75
386.287,-75
386.589,-75
386.89,-75
387.191,-75
387.498,-77
387.8,-77
388.101,-77
388.402,-77
388.703,-77
389.004,-77
389.306,-77
389.634,-75
389.936,-75
390.237,-75
390.539,-75
390.841,-75
391.142,-75
391.444,-75
391.752,-72
392.054,-72
392.355,-72
392.656,-72
392.957,-72
393.258,-72
393.568,-72
393.992,-72
394.302,-72
394.603,-72
394.904,-72
395.206,-72
395.534,-72
395.81,-72
396.117,-80
396.419,-80
396.72,-80
397.021,-80
397.322,-80
397.623,-80
397.924,-80
398.231,-80
398.533,-80
398.834,-80
399.136,-80
399.438,-80
399.739,-80
400.062,-80
400.344,-83
400.646,-83
400.947,-83
401.249,-83
401.551,-83
401.853,-83
402.154,-83
402.461,-83
402.763,-83
403.064,-83
403.365,-83
403.675,-83
403.985,-83
404.295,-83
404.719,-75
405.02,-75
405.321,-75
405.623,-75
405.925,-75
406.243,-75
406.519,-75
406.826,-74
407.127,-74
407.428,-74
407.729,-74
408.03,-74
408.331,-74
408.632,-74
408.939,-70
409.24,-70
409.541,-70
409.843,-70
410.145,-70
410.447,-70
410.77,-70
411.053,-73
411.354,-73
411.655,-73
411.957,-73
412.258,-73
412.559,-73
412.86,-73
413.168,-71
413.469,-71
413.779,-71
414.089,-71
414.399,-71
414.709,-71
415.01,-71
415.318,-80
415.619,-80
415.92,-80
416.222,-80
416.524,-80
416.825,-80
417.127,-80
417.435,-78
417.736,-78
418.037,-78
418.338,-78
418.639,-78
418.94,-78
419.241,-78
419.558,-77
419.859,-77
420.16,-77
420.462,-77
420.764,-77
421.065,-77
421.367,-77
421.676,-75
421.977,-75
422.278,-75
422.579,-75
422.88,-75
423.181,-75
423.482,-75
